provinsi,produksi_gkg_ton
Aceh,1643355
Sumatera Utara,2154117
Sumatera Barat,1352049
Riau,225837
Jambi,291367
Sumatera Selatan,2842559
Bengkulu,272177
Lampung,2729901
Kepulauan Bangka Belitung,75644
Kepulauan Riau,355
DKI Jakarta,2466
Jawa Barat,8514667
Jawa Tengah,8830155
DI Yogyakarta,454274
Jawa Timur,9226340
Banten,1524348
Bali,647966
Nusa Tenggara Barat,1453451
Nusa Tenggara Timur,706906
Kalimantan Barat,799993
Kalimantan Tengah,378178
Kalimantan Selatan,979359
Kalimantan Timur,229275
Kalimantan Utara,34234
Sulawesi Utara,265296
Sulawesi Tengah,759838
Sulawesi Selatan,4796680
Sulawesi Tenggara,552972
Gorontalo,218781
Sulawesi Barat,323024
Maluku,89239
Maluku Utara,38113
Papua Barat,21360
Papua Barat Daya,1305
Papua,4852
Papua Selatan,213578
Papua Tengah,6817
Papua Pegunungan,113
